,symbol_name
0,$ads
1,$anrx
2,$based
3,$dosa
4,$hrimp
5,$king
6,$mecha
7,$na
8,$rope
9,$weapon
10,00
11,0xbtc
12,0xmr
13,10set
14,1337
15,1earth
16,1inch
17,1sol
18,1wo
19,2key
20,3crv
21,3oh
22,777
23,888
24,aaa
25,aac
26,aag
27,aapx
28,aave
29,abc
30,abl
31,abpt
32,abr
33,abs
34,abst
35,abt
36,abx
37,abyss
38,ac
39,acar
40,acdc
41,ace
42,ach
43,acre
44,actp
45,acx
46,acxt
47,ad
48,adal
49,adao
50,adb
51,adc
52,add
53,adel
54,adi
55,adp
56,adt
57,adx
58,ae
59,aens
60,aergo
61,aet
62,aeth
63,aeur
64,afc
65,agix
66,agl
67,agld
68,agn
69,agri
70,agt
71,agv
72,ai
73,aid
74,aidi
75,aidoc
76,ain
77,aion
78,aioz
79,air
80,ait
81,aka
82,akita
83,akro
84,albt
85,alcx
86,ald
87,aleph
88,alex
89,alf
90,ali
91,alice
92,alk
93,aloha
94,alp
95,alpa
96,alpaca
97,alpha
98,alt
99,altbear
100,altbull
101,alts
102,ama
103,amas
104,amb
105,amc
106,ame
107,ami
108,amis
109,amlt
110,amm
111,amn
112,amo
113,amp
114,ampl
115,amz
116,anc
117,ang
118,angel
119,angle
120,ank
121,ankr
122,anm
123,anml
124,anom
125,anon
126,ant
127,ants
128,anv
129,any
130,aoa
131,ape
132,aped
133,apex
134,api3
135,apm
136,apn
137,apo
138,appc
139,apple
140,apr
141,apt
142,apw
143,apx
144,apy
145,apys
146,aqt
147,aqu
148,aqua
149,ara
150,araw
151,arb
152,arc
153,arch
154,arcona
155,arcx
156,arena
157,ares
158,argo
159,ari
160,ark
161,armor
162,arnx
163,aro
164,arpa
165,art
166,arte
167,arteq
168,arth
169,artic
170,artx
171,artx
172,arx
173,asap
174,asc
175,asg
176,ash
177,asko
178,asm
179,asr
180,ast
181,asto
182,astr
183,astro
184,asw
185,at
186,atc
187,atd
188,ath
189,atis
190,atls
191,atm
192,atri
193,ats
194,att
195,attr
